rank,prev_rank,name,league,off,def,spi
391,394,Orlando City SC,Major League Soccer,1.22,1.79,33.65
392,395,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
393,397,Consadole Sapporo,Japanese J League,1.15,1.72,33.38
394,388,Las Palmas,Spanish Segunda Division,0.91,1.41,33.32
395,421,SD Ponferradina,Spanish Segunda Division,0.98,1.52,33.07
396,403,Bidvest Wits,South African ABSA Premier League,0.91,1.44,32.85
397,384,Sunderland,English League One,0.93,1.46,32.81
398,373,Viking FK,Norwegian Tippeligaen,1.19,1.8,32.76
399,401,Luton Town,English League Championship,1.13,1.73,32.67
400,408,Neuchatel Xamax,Swiss Raiffeisen Super League,1.11,1.71,32.66
401,405,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
402,411,Caen,French Ligue 2,1.0,1.56,32.55
403,407,Avaí,Brasileiro Série A,0.87,1.4,32.37
404,396,Emmen,Dutch Eredivisie,1.09,1.71,32.35
405,400,AC Ajaccio,French Ligue 2,0.83,1.35,32.34
406,406,Frosinone,Italy Serie B,0.9,1.45,32.32
407,398,Crotone,Italy Serie B,1.0,1.59,32.09
408,416,VfL Osnabruck,German 2. Bundesliga,1.05,1.67,31.98
409,414,Colon Santa Fe,Argentina Primera Division,0.89,1.45,31.97
410,417,Eupen,Belgian Jupiler League,0.9,1.47,31.96
411,413,Denizlispor,Turkish Turkcell Super Lig,1.01,1.62,31.93
412,418,SpVgg Greuther Fürth,German 2. Bundesliga,1.03,1.65,31.88
413,402,Fuenlabrada,Spanish Segunda Division,0.84,1.38,31.83
414,412,Montreal Impact,Major League Soccer,1.11,1.76,31.83
415,433,Adelaide United,Australian A-League,1.21,1.89,31.78
416,425,Tenerife,Spanish Segunda Division,0.91,1.5,31.66
417,430,Real Oviedo,Spanish Segunda Division,0.97,1.58,31.64
418,463,Peterborough United,English League One,1.13,1.8,31.4
419,423,Hibernian,Scottish Premiership,1.05,1.7,31.38
420,424,Oxford United,English League One,0.97,1.59,31.35
421,426,FC St. Pauli,German 2. Bundesliga,0.98,1.62,31.08
422,437,Deportivo La Coruña,Spanish Segunda Division,0.82,1.42,30.85
423,420,AS Nancy Lorraine,French Ligue 2,0.78,1.36,30.82
424,427,Hobro IK,Danish SAS-Ligaen,0.9,1.52,30.8
