rank,prev_rank,name,league,off,def,spi
69,63,Granada,Spanish Primera Division,1.64,0.79,66.01
70,75,Alavés,Spanish Primera Division,1.69,0.83,65.8
71,59,PAOK Salonika,Greek Super League,1.84,0.96,65.7
72,81,Braga,Portuguese Liga,1.81,0.94,65.46
73,72,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
74,73,LASK Linz,Austrian T-Mobile Bundesliga,1.9,1.02,65.39
75,65,Basel,Swiss Raiffeisen Super League,1.98,1.09,65.33
76,71,Hertha Berlin,German Bundesliga,1.77,0.92,65.32
77,78,Santos,Brasileiro Série A,1.6,0.78,65.25
78,76,Leeds United,English League Championship,1.81,0.96,65.02
79,70,West Ham United,Barclays Premier League,1.9,1.04,64.85
80,86,FC Augsburg,German Bundesliga,1.94,1.07,64.83
81,82,River Plate,Argentina Primera Division,1.74,0.92,64.72
82,88,Bologna,Italy Serie A,1.83,1.01,64.44
83,87,CSKA Moscow,Russian Premier Liga,1.63,0.84,64.35
84,91,Stade Rennes,French Ligue 1,1.55,0.79,64.13
85,69,Rangers,Scottish Premiership,1.81,1.0,64.09
86,67,Montpellier,French Ligue 1,1.55,0.8,63.62
87,83,1. FC Union Berlin,German Bundesliga,1.7,0.94,63.51
88,92,AFC Bournemouth,Barclays Premier League,1.76,0.99,63.46
89,85,Angers,French Ligue 1,1.5,0.77,63.46
90,74,Young Boys,Swiss Raiffeisen Super League,2.07,1.25,63.34
91,93,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
92,89,Sporting CP,Portuguese Liga,1.64,0.9,63.19
93,103,Verona,Italy Serie A,1.66,0.92,63.0
94,94,Werder Bremen,German Bundesliga,1.86,1.09,62.85
95,109,Real Valladolid,Spanish Primera Division,1.51,0.8,62.74
96,96,Grêmio,Brasileiro Série A,1.65,0.93,62.69
97,90,Strasbourg,French Ligue 1,1.58,0.87,62.69
98,110,KAA Gent,Belgian Jupiler League,1.83,1.08,62.65
99,98,Sampdoria,Italy Serie A,1.66,0.94,62.54
100,99,Nantes,French Ligue 1,1.5,0.82,62.2
101,100,Levante,Spanish Primera Division,1.92,1.18,62.18
102,104,Mainz,German Bundesliga,1.95,1.2,62.08
103,101,Atlético Paranaense,Brasileiro Série A,1.42,0.75,62.05
104,105,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
105,102,Aston Villa,Barclays Premier League,1.88,1.16,61.75
106,108,Galatasaray,Turkish Turkcell Super Lig,1.78,1.07,61.73
107,115,Norwich City,Barclays Premier League,1.72,1.03,61.71
108,97,Newcastle,Barclays Premier League,1.63,0.95,61.49
109,107,PSV,Dutch Eredivisie,1.91,1.21,61.21
110,121,Reims,French Ligue 1,1.39,0.77,60.97
111,95,SC Freiburg,German Bundesliga,1.83,1.17,60.49
112,114,Ludogorets,UEFA Europa League,1.69,1.05,60.46
113,117,Trabzonspor,Turkish Turkcell Super Lig,1.84,1.18,60.37
114,123,Sassuolo,Italy Serie A,1.78,1.14,60.29
115,118,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.68,1.06,60.06
116,116,FC Midtjylland,Danish SAS-Ligaen,1.69,1.06,60.02
117,113,Fenerbahce,Turkish Turkcell Super Lig,1.8,1.16,59.98
118,106,Malmo FF,Swedish Allsvenskan,1.64,1.03,59.94
119,126,Feyenoord,Dutch Eredivisie,1.95,1.31,59.83
120,111,Mallorca,Spanish Primera Division,1.72,1.11,59.61
121,120,Bordeaux,French Ligue 1,1.39,0.83,59.31
122,122,FC Copenhagen,Danish SAS-Ligaen,1.71,1.13,59.08
123,130,Nice,French Ligue 1,1.62,1.04,59.06
124,125,Guimaraes,Portuguese Liga,1.52,0.97,58.75
125,124,Rapid Vienna,Austrian T-Mobile Bundesliga,1.81,1.24,58.64
126,112,Monterrey,Mexican Primera Division Torneo Clausura,1.67,1.12,58.46
127,134,Boca Juniors,Argentina Primera Division,1.43,0.9,58.4
128,128,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
129,129,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
130,131,Apoel Nicosia,UEFA Europa League,1.63,1.09,58.12
131,132,Internacional,Brasileiro Série A,1.49,0.97,58.03
132,143,Genoa,Italy Serie A,1.7,1.17,57.98
133,133,Lokomotiv Moscow,Russian Premier Liga,1.64,1.11,57.92
134,127,Cagliari,Italy Serie A,1.76,1.22,57.86
135,136,Parma,Italy Serie A,1.63,1.11,57.85
136,135,Los Angeles FC,Major League Soccer,1.98,1.43,57.68
137,142,West Bromwich Albion,English League Championship,1.56,1.06,57.18
138,140,São Paulo,Brasileiro Série A,1.32,0.85,57.09
139,141,St Etienne,French Ligue 1,1.42,0.96,56.85
140,152,St Gallen,Swiss Raiffeisen Super League,1.96,1.46,56.69
141,119,Club América,Mexican Primera Division Torneo Clausura,1.59,1.12,56.58
142,145,Red Star Belgrade,UEFA Champions League,1.92,1.43,56.48
143,137,Fulham,English League Championship,1.57,1.11,56.3
144,146,Rostov,Russian Premier Liga,1.54,1.09,56.16
145,144,SC Paderborn,German Bundesliga,1.69,1.25,55.87
146,150,Fortuna Düsseldorf,German Bundesliga,1.66,1.22,55.74
147,149,Dijon FCO,French Ligue 1,1.4,0.98,55.69
148,151,FC Arsenal Tula,Russian Premier Liga,1.4,0.99,55.46
149,147,Udinese,Italy Serie A,1.56,1.15,55.22
150,138,Torino,Italy Serie A,1.59,1.18,55.09
151,157,AEK Athens,Greek Super League,1.41,1.01,55.02
152,148,Tigres UANL,Mexican Primera Division Torneo Clausura,1.45,1.06,54.81
153,158,Cruz Azul,Mexican Primera Division Torneo Clausura,1.55,1.17,54.54
154,161,Besiktas,Turkish Turkcell Super Lig,1.73,1.34,54.48
155,156,Brest,French Ligue 1,1.54,1.17,54.42
156,165,Metz,French Ligue 1,1.39,1.03,54.4
157,159,Ferencvaros,UEFA Europa League,1.59,1.22,54.14
158,184,Nimes,French Ligue 1,1.44,1.09,53.96
159,162,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.65,1.3,53.78
160,153,Molde,Norwegian Tippeligaen,1.82,1.47,53.66
161,163,Yokohama F. Marinos,Japanese J League,1.76,1.42,53.62
162,164,Atletico Mineiro,Brasileiro Série A,1.42,1.08,53.53
163,166,Genk,Belgian Jupiler League,1.69,1.36,53.46
164,160,Spal,Italy Serie A,1.52,1.19,53.34
165,139,Hammarby,Swedish Allsvenskan,1.89,1.56,53.14
166,154,Stoke City,English League Championship,1.35,1.04,53.1
167,167,Spartak Moscow,Russian Premier Liga,1.29,0.98,53.0
168,168,Fluminense,Brasileiro Série A,1.35,1.04,52.91
169,169,Corinthians,Brasileiro Série A,1.26,0.96,52.88
170,173,Alanyaspor,Turkish Turkcell Super Lig,1.52,1.22,52.77
171,172,FK Partizan Belgrade,UEFA Europa League,1.51,1.21,52.7
172,176,FK Qarabag,UEFA Europa League,1.44,1.16,52.29
173,170,FC Utrecht,Dutch Eredivisie,1.71,1.43,52.28
174,174,Vitesse,Dutch Eredivisie,1.68,1.4,52.28
175,179,Amiens,French Ligue 1,1.31,1.03,52.19
176,181,Vasco da Gama,Brasileiro Série A,1.34,1.08,51.83
177,182,Santos Laguna,Mexican Primera Division Torneo Clausura,1.57,1.31,51.77
178,180,Antwerp,Belgian Jupiler League,1.47,1.22,51.66
179,171,Rio Ave,Portuguese Liga,1.36,1.11,51.41
180,186,Brondby,Danish SAS-Ligaen,1.73,1.49,51.39
181,183,VfB Stuttgart,German 2. Bundesliga,1.61,1.36,51.37
182,187,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
183,188,Kawasaki Frontale,Japanese J League,1.48,1.25,51.15
184,155,Sivasspor,Turkish Turkcell Super Lig,1.66,1.43,51.01
185,185,Sporting de Charleroi,Belgian Jupiler League,1.34,1.12,50.92
186,191,Cruzeiro,Brasileiro Série A,1.18,0.96,50.89
187,192,FC Astana,UEFA Europa League,1.54,1.33,50.65
188,175,Standard Liege,Belgian Jupiler League,1.57,1.36,50.55
189,193,Bahía,Brasileiro Série A,1.28,1.07,50.48
190,213,Lecce,Italy Serie A,1.63,1.43,50.4
191,194,Millwall,English League Championship,1.28,1.08,50.4
192,203,Defensa y Justicia,Argentina Primera Division,1.24,1.04,50.38
193,217,Hamburg SV,German 2. Bundesliga,1.55,1.35,50.31
194,199,Anderlecht,Belgian Jupiler League,1.28,1.09,50.05
195,195,León,Mexican Primera Division Torneo Clausura,1.54,1.36,50.0
196,190,Velez Sarsfield,Argentina Primera Division,1.14,0.95,49.89
197,200,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
198,201,Ceará,Brasileiro Série A,1.25,1.07,49.77
199,202,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.49,1.32,49.69
200,211,Pachuca,Mexican Primera Division Torneo Clausura,1.45,1.28,49.68
201,198,Preston North End,English League Championship,1.28,1.11,49.66
202,204,CFR 1907 Cluj,UEFA Europa League,1.48,1.32,49.57
203,196,Brescia,Italy Serie A,1.49,1.33,49.48
204,197,Queens Park Rangers,English League Championship,1.52,1.36,49.46
205,205,Racing Club,Argentina Primera Division,1.25,1.09,49.39
206,264,Rosenborg,Norwegian Tippeligaen,1.62,1.47,49.37
207,210,Cardiff City,English League Championship,1.42,1.27,49.3
208,206,Dinamo Moscow,Russian Premier Liga,1.13,0.97,49.16
209,208,AGF Aarhus,Danish SAS-Ligaen,1.49,1.35,49.0
210,220,Toulouse,French Ligue 1,1.42,1.28,48.95
211,226,CA Independiente,Argentina Primera Division,1.25,1.11,48.95
212,177,Djurgardens IF,Swedish Allsvenskan,1.36,1.23,48.83
213,216,Bristol City,English League Championship,1.4,1.27,48.7
214,207,Blackburn,English League Championship,1.31,1.18,48.68
215,214,Aris Salonika,Greek Super League,1.43,1.3,48.64
216,218,Middlesbrough,English League Championship,1.28,1.15,48.46
217,209,Nottingham Forest,English League Championship,1.3,1.17,48.45
218,189,Hull City,English League Championship,1.38,1.28,48.22
219,215,Sheffield Wednesday,English League Championship,1.32,1.2,48.22
220,249,Lorient,French Ligue 2,1.47,1.37,48.14
221,221,Swansea City,English League Championship,1.33,1.23,48.01
222,219,Atlanta United FC,Major League Soccer,1.47,1.38,47.92
223,222,Fortaleza,Brasileiro Série A,1.31,1.22,47.7
224,223,Kashima Antlers,Japanese J League,1.27,1.19,47.56
225,178,IFK Norrkoping,Swedish Allsvenskan,1.44,1.36,47.52
226,232,Huddersfield Town,English League Championship,1.31,1.22,47.51
227,225,FC Ufa,Russian Premier Liga,1.0,0.9,47.42
228,228,Willem II,Dutch Eredivisie,1.54,1.48,47.3
229,245,Panathinaikos,Greek Super League,1.11,1.02,47.3
230,246,Derby County,English League Championship,1.35,1.28,47.25
231,234,Lanus,Argentina Primera Division,1.25,1.18,47.18
232,235,Servette,Swiss Raiffeisen Super League,1.38,1.32,46.95
233,227,Newell's Old Boys,Argentina Primera Division,1.21,1.16,46.63
234,229,New York City FC,Major League Soccer,1.49,1.46,46.62
235,230,Gazovik Orenburg,Russian Premier Liga,1.34,1.3,46.62
236,224,FC Groningen,Dutch Eredivisie,1.11,1.05,46.58
237,236,Birmingham,English League Championship,1.36,1.33,46.43
238,252,Famalicao,Portuguese Liga,1.36,1.35,46.14
239,253,Querétaro,Mexican Primera Division Torneo Clausura,1.31,1.3,45.93
240,238,Philadelphia Union,Major League Soccer,1.5,1.51,45.79
241,231,Reading,English League Championship,1.24,1.23,45.75
242,239,FC Tambov,Russian Premier Liga,1.27,1.26,45.72
243,237,Goztepe,Turkish Turkcell Super Lig,1.22,1.21,45.71
244,240,PFC Oleksandriya,UEFA Europa League,1.33,1.33,45.69
245,241,FC Nordsjaelland,Danish SAS-Ligaen,1.49,1.5,45.62
246,244,Toronto FC,Major League Soccer,1.49,1.52,45.31
247,212,AIK,Swedish Allsvenskan,1.28,1.3,45.26
248,242,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.48,1.51,45.21
249,247,Ural Sverdlovsk Oblast,Russian Premier Liga,1.28,1.3,45.06
250,248,Boavista,Portuguese Liga,1.02,1.02,44.92
251,256,Wigan,English League Championship,1.19,1.22,44.74
252,250,Pumas Unam,Mexican Primera Division Torneo Clausura,1.3,1.35,44.67
253,254,Slovan Bratislava,UEFA Europa League,1.26,1.3,44.65
254,255,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.49,1.55,44.58
255,243,Guadalajara,Mexican Primera Division Torneo Clausura,1.29,1.34,44.44
256,257,Banfield,Argentina Primera Division,1.11,1.15,44.18
257,260,Lens,French Ligue 2,1.06,1.11,44.11
258,298,SV Zulte Waregem,Belgian Jupiler League,1.43,1.52,43.95
259,262,Los Angeles Galaxy,Major League Soccer,1.81,1.94,43.78
260,251,Heerenveen,Dutch Eredivisie,1.51,1.62,43.76
261,263,Almeria,Spanish Segunda Division,1.23,1.31,43.75
262,295,Moreirense,Portuguese Liga,1.25,1.34,43.71
263,258,Talleres de Córdoba,Argentina Primera Division,1.14,1.21,43.6
264,233,Gil Vicente,Portuguese Liga,1.19,1.27,43.58
265,265,Chicago Fire,Major League Soccer,1.45,1.56,43.52
266,261,Heracles,Dutch Eredivisie,1.5,1.62,43.52
267,271,Santa Clara,Portuguese Liga,1.18,1.26,43.52
268,281,Necaxa,Mexican Primera Division Torneo Clausura,1.31,1.41,43.44
269,259,Portimonense,Portuguese Liga,1.17,1.25,43.44
270,274,Estudiantes,Argentina Primera Division,1.04,1.11,43.33
271,,Inter Miami CF,Major League Soccer,1.34,1.45,43.32
272,267,Goiás,Brasileiro Série A,1.33,1.44,43.18
273,269,Seattle Sounders FC,Major League Soccer,1.39,1.51,43.13
274,270,Arsenal Sarandi,Argentina Primera Division,1.28,1.4,43.01
275,272,Terek Grozny,Russian Premier Liga,0.98,1.06,42.99
276,273,Randers FC,Danish SAS-Ligaen,1.35,1.49,42.79
277,266,Atlético Tucumán,Argentina Primera Division,1.11,1.21,42.79
278,275,Odense BK,Danish SAS-Ligaen,1.25,1.37,42.67
279,276,Sochi,Russian Premier Liga,1.18,1.31,42.53
280,288,Girona FC,Spanish Segunda Division,1.21,1.34,42.47
281,277,Rayo Vallecano,Spanish Segunda Division,1.12,1.24,42.45
282,280,Cerezo Osaka,Japanese J League,0.96,1.06,42.37
283,279,Argentinos Juniors,Argentina Primera Division,0.97,1.07,42.19
284,308,FC Luzern,Swiss Raiffeisen Super League,1.35,1.52,42.09
285,283,New York Red Bulls,Major League Soccer,1.41,1.59,41.98
286,284,Rubin Kazan,Russian Premier Liga,0.88,0.98,41.96
287,285,AaB,Danish SAS-Ligaen,1.24,1.4,41.87
288,278,Atlas,Mexican Primera Division Torneo Clausura,1.19,1.35,41.6
289,268,Rosario Central,Argentina Primera Division,1.13,1.29,41.6
290,289,Guingamp,French Ligue 2,1.25,1.43,41.57
291,282,Union Santa Fe,Argentina Primera Division,1.06,1.22,41.51
292,290,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
293,292,Portland Timbers,Major League Soccer,1.44,1.66,41.32
294,286,FC Lugano,Swiss Raiffeisen Super League,1.07,1.23,41.21
295,294,Krylia Sovetov,Russian Premier Liga,1.09,1.26,41.21
296,324,KV Kortrijk,Belgian Jupiler League,1.33,1.54,41.17
297,305,Tondela,Portuguese Liga,1.15,1.33,41.15
298,299,San Lorenzo,Argentina Primera Division,1.11,1.29,41.13
299,297,FC Dallas,Major League Soccer,1.37,1.6,40.98
